what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"25.5-b02",1407856940480
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1407856940575
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1407856940637
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1407856940747
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1407856940950
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1407856941340
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1407856941653
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1407856941684
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1407856942470
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1407856943423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856944416
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1407856946229
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1407856946995
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1407856947682
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1407856948010
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1407856948479
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1407856949010
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1407856949042
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1407856949057
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1407856949089
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1407856949120
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1407856952466
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1407856952607
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1407856953899
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1407856954049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856980455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856981190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856987910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856990051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856991442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856991504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856992693
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407856993158
